Project Name,Project ID,Project Type,Extension Type,Extension Version,Hub ID,Root Folder ID,Self Link,Web View Link
TR1410_N00000879,b.187de262-0396-420a-b508-0ae57cf826b6,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.CaU_2UbATWCaBjEm7SQ9Ig,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.187de262-0396-420a-b508-0ae57cf826b6,https://acc.autodesk.eu/docs/files/projects/187de262-0396-420a-b508-0ae57cf826b6
TR1500_N00000651,b.6e50f394-e318-4a73-8cb5-68bd332f28f4,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.LM_4k3R0TOSRyrg1sgRLfw,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.6e50f394-e318-4a73-8cb5-68bd332f28f4,https://acc.autodesk.eu/docs/files/projects/6e50f394-e318-4a73-8cb5-68bd332f28f4
S054_N00001711,b.9ef7a6f2-f149-416f-bdee-1fd7682f38d7,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.4nZQXbXfS12jWRJUNg5jhQ,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.9ef7a6f2-f149-416f-bdee-1fd7682f38d7,https://acc.autodesk.eu/docs/files/projects/9ef7a6f2-f149-416f-bdee-1fd7682f38d7
S077_N00001694,b.1cbc82c1-6307-4783-87a0-2c65962ff11e,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.icw9OT5BScCFsq9ZeeOArw,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.1cbc82c1-6307-4783-87a0-2c65962ff11e,https://acc.autodesk.eu/docs/files/projects/1cbc82c1-6307-4783-87a0-2c65962ff11e
S004_N00001663,b.1e216334-036c-4877-ae2b-d4b517273a13,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.viVYtFqeTsqghza3I0d23g,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.1e216334-036c-4877-ae2b-d4b517273a13,https://acc.autodesk.eu/docs/files/projects/1e216334-036c-4877-ae2b-d4b517273a13
S074_N00001565,b.ce595d82-07d4-42aa-b165-62abea228156,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.7KJC3F2TSDePT9XzYGurCQ,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.ce595d82-07d4-42aa-b165-62abea228156,https://acc.autodesk.eu/docs/files/projects/ce595d82-07d4-42aa-b165-62abea228156
Demo,b.aeb2c705-1184-4f46-bdf9-6ce114a7eb65,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.qXOWoIDeQgOied6zUVDwTw,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.aeb2c705-1184-4f46-bdf9-6ce114a7eb65,https://acc.autodesk.eu/docs/files/projects/aeb2c705-1184-4f46-bdf9-6ce114a7eb65
TR1910_N00001363,b.7405a204-cd86-460f-91d2-6d200603e27c,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.V6h-3IefQ8u3s7N_IUW_BQ,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.7405a204-cd86-460f-91d2-6d200603e27c,https://acc.autodesk.eu/docs/files/projects/7405a204-cd86-460f-91d2-6d200603e27c
TR1880_N00001686,b.362e65ce-0ae8-4854-a2dd-0f7f407fd4ed,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.3BFNWJEmQEiJlYkFNj_ATQ,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.362e65ce-0ae8-4854-a2dd-0f7f407fd4ed,https://acc.autodesk.eu/docs/files/projects/362e65ce-0ae8-4854-a2dd-0f7f407fd4ed
TR1900_N00001688,b.6198d4bf-4529-4e78-8689-111743313942,ACC,projects:autodesk.bim360:Project,1.0,b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe,urn:adsk.wipemea:fs.folder:co.J3hFJtEMRv66RxERjjX3xw,https://developer.api.autodesk.com/project/v1/hubs/b.dd3bce86-7eb9-4c5c-baa0-0eaafda2bbfe/projects/b.6198d4bf-4529-4e78-8689-111743313942,https://acc.autodesk.eu/docs/files/projects/6198d4bf-4529-4e78-8689-111743313942
